protocol,fold,method,key,value
lolo,15,fisher_wknn,n_selected_keys,79
lolo,15,fisher_wknn,cv_best_score,1.6537916180879404
lolo,16,fisher_wknn,selected_M,all
lolo,16,fisher_wknn,selected_k,3
lolo,16,fisher_wknn,selected_weighting,inv_sq
lolo,16,fisher_wknn,n_selected_keys,79
lolo,16,fisher_wknn,cv_best_score,1.610217269068682
lolo,17,fisher_wknn,selected_M,all
lolo,17,fisher_wknn,selected_k,3
lolo,17,fisher_wknn,selected_weighting,inv_sq
lolo,17,fisher_wknn,n_selected_keys,80
lolo,17,fisher_wknn,cv_best_score,1.7080840212320263
lolo,18,fisher_wknn,selected_M,32
lolo,18,fisher_wknn,selected_k,3
lolo,18,fisher_wknn,selected_weighting,inv_sq
lolo,18,fisher_wknn,n_selected_keys,32
lolo,18,fisher_wknn,cv_best_score,1.6752813511565745
lolo,19,fisher_wknn,selected_M,32
lolo,19,fisher_wknn,selected_k,3
lolo,19,fisher_wknn,selected_weighting,inv_sq
lolo,19,fisher_wknn,n_selected_keys,32
lolo,19,fisher_wknn,cv_best_score,1.5307042904883759
lolo,20,fisher_wknn,selected_M,all
lolo,20,fisher_wknn,selected_k,3
lolo,20,fisher_wknn,selected_weighting,inv_sq
lolo,20,fisher_wknn,n_selected_keys,80
lolo,20,fisher_wknn,cv_best_score,1.5839707850323401
lolo,21,fisher_wknn,selected_M,32
lolo,21,fisher_wknn,selected_k,3
lolo,21,fisher_wknn,selected_weighting,inv_sq
lolo,21,fisher_wknn,n_selected_keys,32
lolo,21,fisher_wknn,cv_best_score,1.583660713482256
lolo,22,fisher_wknn,selected_M,32
lolo,22,fisher_wknn,selected_k,3
lolo,22,fisher_wknn,selected_weighting,inv_sq
lolo,22,fisher_wknn,n_selected_keys,32
lolo,22,fisher_wknn,cv_best_score,1.5780490354835954
lolo,23,fisher_wknn,selected_M,32
lolo,23,fisher_wknn,selected_k,3
lolo,23,fisher_wknn,selected_weighting,inv_sq
lolo,23,fisher_wknn,n_selected_keys,32
lolo,23,fisher_wknn,cv_best_score,1.5846444934371196
lolo,24,fisher_wknn,selected_M,all
