method,fold,location_p,error,true_x,true_y
wcl_blacklist,forward_to_backward,6,0.998322389050049,22,0
wcl_blacklist,forward_to_backward,7,1.7362202901905806,20,0
wcl_blacklist,forward_to_backward,8,2.8104949282172376,18,0
wcl_blacklist,forward_to_backward,9,0.1768495076929122,16,0
wcl_blacklist,forward_to_backward,10,0.9564407008643725,14,0
wcl_blacklist,forward_to_backward,11,2.105289605653662,12,0
wcl_blacklist,forward_to_backward,12,1.191701257629988,10,0
wcl_blacklist,forward_to_backward,13,1.6814203252920394,8,0
wcl_blacklist,forward_to_backward,14,3.962632533778377,6,0
wcl_blacklist,forward_to_backward,15,6.230613233745062,4,0
wcl_blacklist,forward_to_backward,16,12.169324421571217,2,0
wcl_blacklist,forward_to_backward,17,13.224881937140081,0,0
wcl_blacklist,forward_to_backward,18,10.276226004959957,0,2
wcl_blacklist,forward_to_backward,19,11.669856519106983,0,4
wcl_blacklist,forward_to_backward,20,10.532678014681702,0,6
wcl_blacklist,forward_to_backward,21,8.240393442358735,0,8
wcl_blacklist,forward_to_backward,22,5.80873672146132,0,10
wcl_blacklist,forward_to_backward,23,3.8288885908449344,0,12
wcl_blacklist,forward_to_backward,24,2.7426377214158966,0,14
wcl_blacklist,forward_to_backward,25,1.051656436567231,0,16
wcl_blacklist,forward_to_backward,26,2.5356979339052947,0,18
wcl_blacklist,forward_to_backward,27,3.84792042230331,0,20
wcl_blacklist,forward_to_backward,28,4.848735691432658,0,22
wcl_blacklist,forward_to_backward,29,1.9842188794627382,0,24
wcl_blacklist,forward_to_backward,30,2.130634647731588,0,26
wcl_blacklist,forward_to_backward,31,0.638449616942192,0,28
wcl_blacklist,forward_to_backward,32,2.814764938962698,0,30
wcl_blacklist,forward_to_backward,33,1.704081016339109,0,32
wcl_blacklist,forward_to_backward,34,3.791007693029115,0,34
wcl_blacklist,forward_to_backward,35,4.823649448504286,0,36
wcl_blacklist,forward_to_backward,36,5.721120598101993,0,38
wcl_blacklist,forward_to_backward,37,3.8892055799878187,0,40
wcl_blacklist,forward_to_backward,38,2.0493142851685424,0,42
wcl_blacklist,forward_to_backward,39,1.1202948941015831,0,44
wcl_blacklist,forward_to_backward,40,2.1583932242056343,0,46
wcl_blacklist,forward_to_backward,41,4.3693013598759585,0,48
wcl_blacklist,forward_to_backward,42,5.840117413243515,0,50
wcl_blacklist,forward_to_backward,43,3.402858379099413,0,52
wcl_blacklist,forward_to_backward,44,5.031995356495413,0,54
wcl_blacklist,forward_to_backward,45,5.481440370638931,0,56
wcl_blacklist,forward_to_backward,46,4.805983851661868,2,56
wcl_blacklist,forward_to_backward,47,3.155283384446768,4,56
wcl_blacklist,forward_to_backward,48,1.0627284431902542,6,56
wcl_blacklist,forward_to_backward,49,1.5403724424666767,8,56
wcl_blacklist,forward_to_backward,50,1.687445265990021,10,56
wcl_blacklist,forward_to_backward,51,1.14792090704046,12,56
wcl_blacklist,forward_to_backward,52,0.7572608095679871,14,56
wcl_blacklist,forward_to_backward,53,1.3540900364624606,16,56
wcl_blacklist,forward_to_backward,54,2.8709266736738646,18,56
wcl_blacklist,forward_to_backward,55,3.342668419814198,20,56
wcl_blacklist,forward_to_backward,56,2.106892043843587,22,56
wcl_blacklist,forward_to_backward,57,2.0789649918512447,24,56
wcl_blacklist,forward_to_backward,58,1.3605272667461366,26,56
wcl_blacklist,forward_to_backward,59,3.062647031465079,28,56
wcl_corridor,forward_to_backward,1,2.3439254449597513,32,0
wcl_corridor,forward_to_backward,2,7.070713993239728,30,0
wcl_corridor,forward_to_backward,3,5.401005502716387,28,0
wcl_corridor,forward_to_backward,4,4.450394861010075,26,0
wcl_corridor,forward_to_backward,5,2.9366978047005077,24,0
wcl_corridor,forward_to_backward,6,0.5952017904723057,22,0
wcl_corridor,forward_to_backward,7,1.608691298416133,20,0
wcl_corridor,forward_to_backward,8,2.8014768547828766,18,0
wcl_corridor,forward_to_backward,9,0.03437336243980127,16,0
wcl_corridor,forward_to_backward,10,0.9501213862052182,14,0
wcl_corridor,forward_to_backward,11,1.8886554101540085,12,0
wcl_corridor,forward_to_backward,12,0.6911378045091254,10,0
wcl_corridor,forward_to_backward,13,1.3585219851405341,8,0
wcl_corridor,forward_to_backward,14,3.8502948172520064,6,0
wcl_corridor,forward_to_backward,15,5.139218032930856,4,0
wcl_corridor,forward_to_backward,16,12.154501283482482,2,0
wcl_corridor,forward_to_backward,17,11.161971226092234,0,0
wcl_corridor,forward_to_backward,18,2.4017254484523054,0,2
wcl_corridor,forward_to_backward,19,8.956155409948819,0,4
wcl_corridor,forward_to_backward,20,9.364920622987462,0,6
wcl_corridor,forward_to_backward,21,7.735817542204799,0,8
wcl_corridor,forward_to_backward,22,5.609302349011475,0,10
wcl_corridor,forward_to_backward,23,3.5725790124873775,0,12
wcl_corridor,forward_to_backward,24,2.5995571403975433,0,14
wcl_corridor,forward_to_backward,25,0.34420050393099544,0,16
wcl_corridor,forward_to_backward,26,2.3337616035259767,0,18
wcl_corridor,forward_to_backward,27,3.736911912273211,0,20
wcl_corridor,forward_to_backward,28,4.781981981981982,0,22
wcl_corridor,forward_to_backward,29,1.9775594424430274,0,24
wcl_corridor,forward_to_backward,30,2.130360354597613,0,26
wcl_corridor,forward_to_backward,31,0.21455144497797463,0,28
wcl_corridor,forward_to_backward,32,2.7655518905040495,0,30
wcl_corridor,forward_to_backward,33,1.4016902867617347,0,32
wcl_corridor,forward_to_backward,34,3.6712478978880227,0,34
wcl_corridor,forward_to_backward,35,4.7523930028706545,0,36
wcl_corridor,forward_to_backward,36,5.65294176211831,0,38
wcl_corridor,forward_to_backward,37,3.7616965970930494,0,40
wcl_corridor,forward_to_backward,38,1.8009192691934572,0,42
wcl_corridor,forward_to_backward,39,0.5828479228544552,0,44
wcl_corridor,forward_to_backward,40,1.8800681144575009,0,46
wcl_corridor,forward_to_backward,41,4.201788471276913,0,48
wcl_corridor,forward_to_backward,42,5.7362434260091675,0,50
wcl_corridor,forward_to_backward,43,1.8857268072971038,0,52
wcl_corridor,forward_to_backward,44,5.104547961605411,0,54
wcl_corridor,forward_to_backward,45,5.438967579239191,0,56
wcl_corridor,forward_to_backward,46,4.742788560414071,2,56
wcl_corridor,forward_to_backward,47,3.0450667507909417,4,56
wcl_corridor,forward_to_backward,48,0.2529219191245584,6,56
wcl_corridor,forward_to_backward,49,1.5058159160932014,8,56
wcl_corridor,forward_to_backward,50,1.6762469568496243,10,56
wcl_corridor,forward_to_backward,51,1.0118774633994256,12,56
wcl_corridor,forward_to_backward,52,0.4329478997063685,14,56
wcl_corridor,forward_to_backward,53,1.2977731497017366,16,56
wcl_corridor,forward_to_backward,54,2.8205187595821926,18,56
wcl_corridor,forward_to_backward,55,3.197047094106786,20,56
wcl_corridor,forward_to_backward,56,1.807549592721056,22,56
wcl_corridor,forward_to_backward,57,1.6303117183198204,24,56
wcl_corridor,forward_to_backward,58,0.4670661838601653,26,56
wcl_corridor,forward_to_backward,59,2.8076023008181785,28,56
wcl_linpower,forward_to_backward,1,2.6916294309788196,32,0
wcl_linpower,forward_to_backward,2,6.876987784505013,30,0
wcl_linpower,forward_to_backward,3,5.40767081143707,28,0
wcl_linpower,forward_to_backward,4,4.720355087150413,26,0
