method,held_out,error,true_x,true_y
studentt_fp,38,1.7658286125394795,0.0,42.0
studentt_fp,39,0.4706889426654328,0.0,44.0
studentt_fp,40,1.7599305104267202,0.0,46.0
studentt_fp,41,1.9961923754893718,0.0,48.0
studentt_fp,42,1.8656357260210064,0.0,50.0
studentt_fp,43,2.000478559104941,0.0,52.0
studentt_fp,44,2.0163217127011683,0.0,54.0
studentt_fp,45,2.9344249466602386,0.0,56.0
studentt_fp,46,2.0005158731261155,2.0,56.0
studentt_fp,47,1.9999183173074626,4.0,56.0
studentt_fp,48,1.9991865182853275,6.0,56.0
studentt_fp,49,0.7494396392314542,8.0,56.0
studentt_fp,50,2.0808311559021795,10.0,56.0
studentt_fp,51,1.5563263454865865,12.0,56.0
studentt_fp,52,1.9998039452628884,14.0,56.0
studentt_fp,53,1.3280097718517467,16.0,56.0
studentt_fp,54,2.0012879089695037,18.0,56.0
studentt_fp,55,1.7881247422141513,20.0,56.0
studentt_fp,56,1.8194610413703671,22.0,56.0
studentt_fp,57,3.1349117065502554,24.0,56.0
studentt_fp,58,1.995100447305692,26.0,56.0
studentt_fp,59,2.4230758247862276,28.0,56.0
wcl,1,2.521122402712082,32.0,0.0
wcl,2,7.094744305861342,30.0,0.0
wcl,3,5.442401765228894,28.0,0.0
wcl,4,4.5457895374013875,26.0,0.0
wcl,5,3.0927614786854165,24.0,0.0
wcl,6,0.998322389050049,22.0,0.0
wcl,7,1.7362202901905806,20.0,0.0
wcl,8,2.8104949282172376,18.0,0.0
wcl,9,0.1768495076929122,16.0,0.0
wcl,10,0.9564407008643725,14.0,0.0
wcl,11,2.105289605653662,12.0,0.0
wcl,12,1.191701257629988,10.0,0.0
wcl,13,1.6814203252920394,8.0,0.0
wcl,14,3.962632533778377,6.0,0.0
wcl,15,5.143062900677329,4.0,0.0
wcl,16,12.169324421571217,2.0,0.0
wcl,17,11.162391644024268,0.0,0.0
wcl,18,2.5021550480743415,0.0,2.0
wcl,19,9.018627421043965,0.0,4.0
wcl,20,9.414810736072129,0.0,6.0
wcl,21,7.795055211988485,0.0,8.0
wcl,22,5.696233203862502,0.0,10.0
wcl,23,3.7083640346279014,0.0,12.0
wcl,24,2.7426377214158966,0.0,14.0
wcl,25,1.051656436567231,0.0,16.0
wcl,26,2.5356979339052947,0.0,18.0
wcl,27,3.84792042230331,0.0,20.0
wcl,28,4.848735691432658,0.0,22.0
wcl,29,1.9842188794627382,0.0,24.0
wcl,30,2.130634647731588,0.0,26.0
wcl,31,0.638449616942192,0.0,28.0
wcl,32,2.814764938962698,0.0,30.0
wcl,33,1.704081016339109,0.0,32.0
wcl,34,3.791007693029115,0.0,34.0
wcl,35,4.823649448504286,0.0,36.0
wcl,36,5.721120598101993,0.0,38.0
wcl,37,3.8892055799878187,0.0,40.0
wcl,38,2.0493142851685424,0.0,42.0
wcl,39,1.1202948941015831,0.0,44.0
wcl,40,2.1583932242056343,0.0,46.0
wcl,41,4.3693013598759585,0.0,48.0
wcl,42,5.840117413243515,0.0,50.0
wcl,43,3.402858379099413,0.0,52.0
wcl,44,5.031995356495413,0.0,54.0
wcl,45,5.481440370638931,0.0,56.0
wcl,46,4.805983851661868,2.0,56.0
wcl,47,3.155283384446768,4.0,56.0
wcl,48,1.0627284431902542,6.0,56.0
wcl,49,1.5403724424666767,8.0,56.0
wcl,50,1.687445265990021,10.0,56.0
wcl,51,1.14792090704046,12.0,56.0
wcl,52,0.7572608095679871,14.0,56.0
wcl,53,1.3540900364624606,16.0,56.0
wcl,54,2.8709266736738646,18.0,56.0
wcl,55,3.342668419814198,20.0,56.0
wcl,56,2.106892043843587,22.0,56.0
wcl,57,2.0789649918512447,24.0,56.0
wcl,58,1.3605272667461366,26.0,56.0
wcl,59,3.062647031465079,28.0,56.0
wcl_blacklist,1,2.521122402712082,32.0,0.0
wcl_blacklist,2,7.094744305861342,30.0,0.0
wcl_blacklist,3,5.442401765228894,28.0,0.0
wcl_blacklist,4,4.5457895374013875,26.0,0.0
wcl_blacklist,5,3.0927614786854165,24.0,0.0
wcl_blacklist,6,0.998322389050049,22.0,0.0
wcl_blacklist,7,1.7362202901905806,20.0,0.0
wcl_blacklist,8,2.8104949282172376,18.0,0.0
wcl_blacklist,9,0.1768495076929122,16.0,0.0
wcl_blacklist,10,0.9564407008643725,14.0,0.0
wcl_blacklist,11,2.105289605653662,12.0,0.0
wcl_blacklist,12,1.191701257629988,10.0,0.0
wcl_blacklist,13,1.6814203252920394,8.0,0.0
wcl_blacklist,14,3.962632533778377,6.0,0.0
wcl_blacklist,15,6.230613233745062,4.0,0.0
wcl_blacklist,16,12.169324421571217,2.0,0.0
wcl_blacklist,17,13.224881937140081,0.0,0.0
wcl_blacklist,18,10.276226004959957,0.0,2.0
wcl_blacklist,19,11.669856519106983,0.0,4.0
wcl_blacklist,20,10.532678014681702,0.0,6.0
wcl_blacklist,21,8.240393442358735,0.0,8.0
wcl_blacklist,22,5.80873672146132,0.0,10.0
wcl_blacklist,23,3.8288885908449344,0.0,12.0
wcl_blacklist,24,2.7426377214158966,0.0,14.0
