PBL,,,,,,,,CLA,,,,,,,,WCL,,,,,,,,,,,
Location,estimated,,correct ,,,,,Location,estimated,,correct,,,,,Location,estimated,,correct,,,,,,,,
index P,x,y,x,y,error,,,index P,x,y,x,y,error,,,index P,x,y,x,y,error,,,,,,
43,1.00,44.20,0,52,7.86,,,43,6.40,52.27,0,52,6.41,,,43,2.83,50.11,0,52,3.40,,,,,,
44,4.60,57.30,0,54,5.66,,,44,6.40,52.27,0,54,6.63,,,44,4.70,55.81,0,54,5.03,,,,,,
45,4.60,57.30,0,56,4.78,,,45,6.40,52.27,0,56,7.41,,,45,5.44,55.32,0,56,5.48,,,,,,
46,4.60,57.30,2,56,2.91,,,46,6.40,52.27,2,56,5.77,,,46,6.74,56.78,2,56,4.81,,,,,,
47,4.60,57.30,4,56,1.43,,,47,14.63,56.63,4,56,10.65,,,47,7.05,56.83,4,56,3.16,,,,,,
48,4.60,57.30,6,56,1.91,,,48,14.63,56.63,6,56,8.66,,,48,6.25,57.03,6,56,1.06,,,,,,
49,4.60,57.30,8,56,3.64,,,49,14.63,56.63,8,56,6.66,,,49,9.51,56.32,8,56,1.54,,,,,,
50,13.60,55.30,10,56,3.67,,,50,14.63,56.63,10,56,4.68,,,50,11.68,55.81,10,56,1.69,,,,,,
51,13.60,55.30,12,56,1.75,,,51,14.63,56.63,12,56,2.71,,,51,13.01,55.46,12,56,1.15,,,,,,
52,13.60,55.30,14,56,0.81,,,52,14.63,56.63,14,56,0.90,,,52,13.57,55.38,14,56,0.76,,,,,,
53,13.60,55.30,16,56,2.50,,,53,14.63,56.63,16,56,1.51,,,53,14.70,55.61,16,56,1.35,,,,,,
54,25.70,57.30,18,56,7.81,,,54,14.63,56.63,18,56,3.43,,,54,20.82,56.54,18,56,2.87,,,,,,
55,25.70,57.30,20,56,5.85,,,55,14.63,56.63,20,56,5.40,,,55,23.20,56.98,20,56,3.34,,,,,,
56,25.70,57.30,22,56,3.92,,,56,14.63,56.63,22,56,7.39,,,56,23.81,57.08,22,56,2.11,,,,,,
57,25.70,57.30,24,56,2.14,,,57,14.63,56.63,24,56,9.39,,,57,25.63,57.29,24,56,2.08,,,,,,
58,25.70,57.30,26,56,1.33,,,58,14.63,56.63,26,56,11.38,,,58,25.53,57.28,26,56,1.36,,,,,,
59,25.70,57.30,28,56,2.64,,,59,14.63,56.63,28,56,13.38,,,59,25.19,57.22,28,56,3.06,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ave,4.52,,,,,,,Ave,7.02,,,,,,,Ave,3.51,,,,,,
,,,,Max,15.6,,,,,,,Max,18.0,,,,,,,Max,12.2,,,,,,
,,,,Min,0.81,,,,,,,Min,0.30,,,,,,,Min,0.18,,,,,,
,,,,Std,3.14,,,,,,,Std,4.22,,,,,,,Std,2.54,,,,,,
,,,,Var,9.83,,,,,,,Var,17.80,,,,,,,Var,6.43,,,,,,
